"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"1555347634201","04/15/19  17:00:34.201   ","0.52","61.5","0.184","33.8","0.3","0.177","100","4.06","32.18","1.76","8.79","0.68","1.95","0.38","2.69","0.44","0.86","0","0.79","0.27","0.38","0","0.27","61.7","-12.5","-69.6","-135.3","61.7","-12.5","-69.6","-135.3","-172.7","91","6.3","-56.5","-58","-63.6","24","0","36.6"
"1555347635427","04/15/19  17:00:35.427   ","0.52","61.5","0.185","33.9","0.3","0.177","100","3.94","31.96","1.69","8.95","0.65","2.01","0.64","2.59","0.38","1.06","0.35","0.94","0.35","0.41","0","0.36","61.5","-12","-69.7","-134.5","61.5","-12","-69.7","-134.5","-174.5","109.4","2","-75.1","-63","-55.8","12.9","0","21"
"1555347636195","04/15/19  17:00:36.195   ","0.52","61.5","0.184","33.7","0.3","0.177","100","3.99","32.49","1.75","8.8","0.7","2.1","0","2.44","0.31","1.11","0.4","0.65","0","0.51","0","0.45","61.5","-13.2","-70.3","-122.6","61.5","-13.2","-70.3","-122.6","-174.1","90.5","3.9","0","-62.6","-15.8","13","139.9","26.1"
"1555347637420","04/15/19  17:00:37.420   ","0.52","61.3","0.183","34.2","0.3","0.177","100","3.8","32.33","2.06","9.01","0.5","2","0.28","2.33","0","1.15","0.48","0.74","0","0.42","0","0.35","61.3","-13.2","-70.8","-126.3","61.3","-13.2","-70.8","-126.3","-175.6","146.3","2.7","-26","-67.7","-126","12.4","66.1","31.4"
"1555347638201","04/15/19  17:00:38.201   ","0.52","61.4","0.187","34.1","0.4","0.178","100","3.24","32.35","1.79","8.82","0.49","2.15","0","2.7","0.44","1.01","0","0.57","0.23","0.26","0","0.39","61.3","-14.6","-70.8","-131","61.3","-14.6","-70.8","-131","-172.8","103.6","-2.3","0","-66.4","-35.4","19.8","0","38.1"
"1555347639542","04/15/19  17:00:39.542   ","0.52","61.3","0.184","34","0.4","0.177","100","3.98","32.35","1.92","9.42","0.7","2.09","0.22","2.35","0","0.92","0.36","0.78","0.22","0.54","0.33","0.37","61.6","-12.5","-70.6","-122.4","61.4","-13.9","-70.8","-130.5","-174","147.1","-0.4","0","-66.7","0","20.4","17.4","39.2"
"1555347640193","04/15/19  17:00:40.193   ","0.52","61.5","0.186","34.1","0.3","0.177","100","3.78","32.49","1.94","9.19","0.77","1.91","0.47","2.14","0","0.88","0.35","0.8","0","0.59","0","0.28","61.4","-17.5","-70.6","-128.7","61.4","-17.5","-70.6","-128.7","-174.8","145.7","-5.3","-31.5","-68.5","0","24.1","20","38.5"
"1555347641405","04/15/19  17:00:41.405   ","0.52","61.2","0.186","34.2","0.4","0.178","100","3.9","32.32","2.12","8.89","0.6","2.08","0","2.62","0.47","1.06","0.33","0.62","0.28","0.55","0.4","0.45","61.4","-14.6","-70.8","-129.5","61.4","-14.6","-70.8","-129.5","-174.1","100.2","6.1","-156.4","-66.2","-9.2","17.3","0","35.6"
"1555347642199","04/15/19  17:00:42.199   ","0.52","61.5","0.185","33.9","0.3","0.177","100","3.16","32.2","1.64","8.89","0.42","2.18","0.23","2.54","0.28","0.94","0","0.76","0.21","0.29","0","0.55","61.4","-10.2","-70.3","-133.9","61.4","-10.2","-70.3","-133.9","-173.8","87","2.1","-151.7","-62.6","-13.2","20.6","0","56.8"
"1555347643659","04/15/19  17:00:43.659   ","0.52","61.4","0.186","34","0.3","0.178","100","3.64","32.22","1.84","8.91","0.5","2.27","0.34","2.59","0.45","0.84","0.23","0.57","0","0.4","0.35","0.44","61.5","-13.4","-70.5","-130.1","61.5","-13.4","-70.5","-130.1","-174","87.9","2.5","-65.7","-61.8","-67.8","18.8","140.5","46.3"
"1555347644193","04/15/19  17:00:44.193   ","0.52","61.5","0.186","34.1","0.4","0.178","100","3.7","32.36","2.01","9.01","0.45","2.03","0","2.3","0.25","1.11","0.43","0.57","0","0.55","0.27","0.45","61.4","-12.3","-70.6","-124.2","61.4","-12.3","-70.6","-124.2","-173.5","99.3","2.7","0","-60.9","-34","27.9","114.8","39.5"
