"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"1555351883750","04/15/19  18:11:23.750   ","5.21","84.4","3.921","21.3","1.9","2.164","100","19.37","4.02","0.91","3.82","2.36","1.35","0.87","0.92","0.29","0.23","0","0","0","0","0","0","83.3","58","-33.5","-147.3","83.4","-1.9","-43.8","-63.4","-2.9","-111.8","0","108.2","-4.9","0","0","0","0"
"1555351885018","04/15/19  18:11:25.018   ","4.98","84.5","3.899","20.5","2","2.181","100","18.82","5.11","1.01","3.12","2.22","1.23","1.02","0.48","0","0","0","0.44","0","0","0","0.34","82.9","-124","-75.6","18.2","82.6","177.2","-42.9","118.5","-0.1","71.5","59","-82.3","-33.9","38.2","141.3","0","0"
"1555351886606","04/15/19  18:11:26.606   ","5.03","82.9","3.876","19.6","2.1","2.224","100","18.33","2.14","0.32","2.79","1.68","0.75","0.76","0","0.23","0","0.2","0.26","0","0","0","0.26","82.4","-172","-42.2","115.3","83.8","129.4","-59.4","112.6","0.2","26.5","40.3","-125","-98.6","0","149.2","0","0"
"1555351887783","04/15/19  18:11:27.783   ","5.01","84.1","3.893","21","2","2.25","100","18.92","3.51","1.56","3.63","1.47","0.43","0.78","0.51","0.21","0","0","0","0","0","0","0","83.9","119.7","-63.7","108.3","83.1","7.2","-39.8","-65.2","-6.9","-97.6","1.2","119.9","6.8","0","0","0","0"
"1555351888766","04/15/19  18:11:28.766   ","5.17","83.2","3.868","19.4","2.1","2.285","100","19","4.03","1.63","3.73","1.56","0.61","0.82","0.53","0","0","0","0","0","0","0","0","84.2","111.6","-65.8","115.8","83.2","58.7","-35.1","-157.2","-1.6","-27.7","40.1","149.3","-128.6","0","177.4","149.3","0"
"1555351889540","04/15/19  18:11:29.540   ","5.15","82.5","3.869","19.5","2","2.172","100","19.94","6.17","1.96","3.17","2.04","0.75","0.92","0.56","0","0","0","0.27","0","0.21","0","0.23","84.6","-85.3","-81.7","-77","82.3","-141.8","-44.7","61.9","-7.8","111.7","45.1","-51.6","10.4","0","175.1","0","0"
"1555351890764","04/15/19  18:11:30.764   ","4.99","82.3","3.856","19.6","2","2.253","100","18.1","1.46","0.49","3.77","1.41","0.9","0.89","0.36","0","0","0","0","0","0","0","0.2","82.8","156.7","-49.3","120.3","83.9","100.7","-68.3","123.9","-7.3","6.4","9.9","-149.1","-124.7","-126.7","-174.3","0","0"
"1555351891723","04/15/19  18:11:31.723   ","5.01","83","3.858","20.6","2","2.173","100","18.29","3.61","0.36","2.95","1.95","0.89","0.81","0.45","0","0","0","0.31","0","0","0","0.28","82.3","-150.9","-42.4","90.1","83.1","153.9","-51","119.8","2.8","46","52.8","-101.6","-67.9","0","0","0","0"
"1555351892604","04/15/19  18:11:32.604   ","5","83","3.878","19.6","2","2.225","100","19.03","3.59","1.29","3.8","1.29","0.4","0.82","0.35","0","0.22","0","0","0","0","0","0.23","84.4","-42.1","-63.1","-75.5","84","-95.3","-82.7","-44.9","-13.7","173.5","19.1","-4.7","-139.4","0","0","0","-101.5"
"1555351893848","04/15/19  18:11:33.848   ","5.18","82.3","3.849","19.5","2","2.231","100","18.26","3.4","0.34","2.93","1.89","0.84","0.81","0.43","0","0","0","0.34","0","0","0","0.23","82.2","-153","-40","98.5","83.9","96.1","-69.1","133.3","-8.7","4.8","6.3","-153.6","-124.1","-131.8","-175.7","0","0"
"1555351894715","04/15/19  18:11:34.715   ","5.08","84.5","3.871","19.5","2","2.202","100","19.07","3.62","1.37","3.77","1.23","0.39","0.82","0.33","0","0","0","0","0","0","0","0","84.1","-95.8","-83.5","-40","84.1","-95.8","-83.5","-40","-13.5","173","22.3","-6.1","-138.5","0","0","0","-100"
