"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"1555349700584","04/15/19  17:35:00.584   ","5.48","85.3","3.548","20","2.2","1.797","100","19.88","5.32","1.71","3.63","1.81","0.56","0.8","0.69","0.27","0.34","0.2","0","0","0","0","0","86.9","-93.4","-90.3","0","85.1","-157.7","-36.3","99.7","-9.8","106.2","-3.5","-54.9","6","0","148.6","0","0"
"1555349701439","04/15/19  17:35:01.439   ","5.55","85.1","3.545","20.3","2.2","1.796","100","19.86","4.82","1.85","3.85","1.57","0.36","0.85","0.54","0.26","0.29","0","0","0","0","0","0","87.2","-79.5","-85","-91.8","87.2","-79.5","-85","-91.8","-6.4","-172.6","12.4","4.3","-109.4","173.6","155","119.6","0"
"1555349702858","04/15/19  17:35:02.858   ","5.48","85.4","3.543","20.1","2.2","1.828","100","18.73","3.2","0","3.43","1.65","1.1","0.97","0.71","0.22","0.31","0.26","0","0","0","0","0.28","85","-153.7","-38.2","96.9","85","-153.7","-38.2","96.9","-10.5","107.9","-3.2","-52.1","15.1","147.6","147.9","0","0"
"1555349703361","04/15/19  17:35:03.361   ","5.57","85.6","3.603","20.8","2.1","1.899","100","18.49","1.64","0.45","3.6","1.35","0.75","1.08","0.27","0.22","0.42","0.2","0","0","0","0","0.24","86.3","-112.9","-105.7","64","87.4","140.1","-40.5","-174.6","12.2","28.5","0","-137.2","-53.9","0","102.9","-40.2","0"
"1555349704582","04/15/19  17:35:04.582   ","5.41","86.8","3.568","20.6","2.2","1.796","100","19.85","3.83","1.73","3.84","1.28","0","0.9","0.51","0","0.23","0","0","0","0","0","0","87.2","-62.4","-75.4","-85.8","85.5","-124.1","-118.7","74.9","1.1","124.3","26.9","-38","0","163.1","171.2","0","0"
"1555349705478","04/15/19  17:35:05.478   ","5.67","85.8","3.551","20","2.2","1.81","100","19.73","5.21","1.29","3.69","1.95","0.9","0.79","0.75","0.23","0.35","0.21","0.23","0","0","0","0","87.2","-49.1","-66.8","-76.6","86.1","-110.1","-102.4","63.5","-0.6","145.9","23.8","-32.2","-119.4","146","166.1","55.8","0"
"1555349706636","04/15/19  17:35:06.636   ","5.53","85.3","3.597","21.2","2.2","1.818","100","19.53","4.46","1.15","3.99","1.96","0.71","0.69","0.63","0.22","0.25","0","0.25","0","0","0","0","85.7","71.1","-45.4","-111.8","85.7","71.1","-45.4","-111.8","-17.9","-18.4","44.6","150.3","0","6","0","-105.5","-137.5"
"1555349707358","04/15/19  17:35:07.358   ","5.59","85.3","3.599","21.2","2.2","1.928","100","18.72","0.7","0.9","4.4","1.32","0.9","1.09","0","0.29","0.39","0","0","0","0","0","0.27","85.3","-145.9","-56.4","89.1","85.3","-145.9","-56.4","89.1","-9.2","112.4","1.3","-46.3","0","162.9","143.8","0","0"
"1555349708607","04/15/19  17:35:08.607   ","5.48","87.3","3.609","20.3","2.2","1.848","100","19.96","5.31","1.75","3.71","1.74","0.51","0.79","0.66","0.26","0.32","0","0","0","0","0","0","86.8","-29.2","-53.7","-65.4","87","-91.5","-89.1","0","-9.1","175.4","0.3","-10.8","-120.6","153.2","153.9","92.6","0"
"1555349709402","04/15/19  17:35:09.402   ","5.66","85.9","3.588","19.9","2.2","1.848","100","19.27","2.02","0.9","4.26","1.54","0.42","1.04","0.42","0.29","0","0","0.26","0","0","0","0","85.4","48.9","-17.9","-98.3","86.4","-15.7","-45.7","-61.8","-0.8","-126.3","74.1","92.5","-23.4","-110.9","143.4","0","0"
"1555349710653","04/15/19  17:35:10.653   ","5.47","85.8","3.585","20.9","2.2","1.838","100","19.33","3.42","1.58","4.21","1.57","0.44","0.82","0.5","0.27","0.37","0","0","0","0","0","0","86.3","99.3","-58.2","153.4","85.4","34.5","-16.2","-90.3","-17.3","-74.2","24.4","131.1","58.4","-17.3","174.1","0","179.8"
"1555349711596","04/15/19  17:35:11.596   ","5.54","87.5","3.362","19.1","2.2","1.748","100","19.44","4.03","0.53","4.07","1.88","0.98","0.81","0.54","0.2","0","0","0.33","0","0","0","0","85.6","48.2","-20.3","-97.1","85.6","48.2","-20.3","-97.1","-13.7","-57.4","43.3","135","67","0.1","-180","0","-162.4"
"1555349712605","04/15/19  17:35:12.605   ","5.59","87.2","3.349","19.9","2.3","1.813","100","20.04","4.14","1.84","3.91","1.36","0","0.95","0.5","0.24","0.3","0","0","0","0","0","0","86","-3.1","-40.3","-64.3","87.3","-67.1","-79.4","-92.1","-3.2","-161","19.7","21.3","-101.1","158.7","137.9","112","-82.6"
"1555349713402","04/15/19  17:35:13.402   ","5.59","87.2","3.333","19.8","2.3","1.78","100","19.64","2.21","0.35","3.66","1.26","0.39","0.99","0.2","0.22","0","0.25","0.42","0","0.23","0.2","0","86.5","75","-51.7","-126","85.9","9.3","-37.3","-70.3","-10.2","-102.7","-35.6","120.6","28.5","-53.7","167.2","0","0"
"1555349714596","04/15/19  17:35:14.596   ","5.69","85.7","3.286","20.3","2.3","1.876","100","18.78","2.19","0.38","3.44","1.47","0.66","0.97","0.46","0.25","0.3","0.25","0","0","0","0","0.27","85","-168.3","-38.8","107.1","86.2","124.2","-55.7","116.8","-9.2","24.3","41.9","-145.3","-93.3","-24.8","0","0","-66"
"1555349715730","04/15/19  17:35:15.730   ","5.42","87.1","3.337","19.9","2.3","1.798","100","19.9","3.35","1.57","4.07","1.21","0","0.93","0.52","0.24","0.28","0","0","0","0","0","0","85.7","9.8","-35.4","-69.2","87.3","-54.6","-71.7","-82.1","0.1","-153.2","32.8","38","-88.5","-174","138.2","136.9","-20.4"
