"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","V3 Ang","I3 H13 ANG"
"1558528053523","05/22/19  12:27:33.523   ","0.43","62.9","0.247","34","0.3","0.223","100","3.22","31.88","1.69","9.93","1.21","2.36","0.22","3.05","0.23","1.35","0.53","0.98","0","0.59","0.27","0.55","62.6","-16.3","-72.9","-125.8","62.7","-14.7","-72.9","-126.3","-174.4","114.2","-2.8","0","-66.3","0","31","119.5","40.7"
"1558528054240","05/22/19  12:27:34.240   ","0.43","62.7","0.248","34","0.3","0.226","100","2.78","32.04","1.41","10.25","0.49","2.49","0","3.4","0","1.28","0","0.78","0.41","0.62","0.41","0.65","62.6","-16.5","-72.3","-128.8","62.6","-16.5","-72.3","-128.8","-174.4","100.4","-3.8","0","-68.1","0","46.3","119.5","21.5"
"1558528055505","05/22/19  12:27:35.505   ","0.44","62.9","0.248","33.8","0.3","0.224","100","3.11","32.01","1.53","9.95","0.93","2.67","0","3.27","0.23","1.02","0.43","0.83","0.21","0.67","0.29","0.57","62.8","-15.2","-72.7","-128.2","62.7","-16","-72.8","-136.8","-173.5","126.7","-3","69.6","-65.7","0","47.6","119.6","27.3"
"1558528056243","05/22/19  12:27:36.243   ","0.43","62.8","0.249","34.3","0.3","0.225","100","3.38","31.91","1.71","9.91","0.76","2.75","0","3.17","0","1.14","0.7","0.85","0","0.66","0.27","0.71","62.6","-16.8","-73.2","-134.6","62.6","-16.8","-73.2","-134.6","-174","94.5","-5.5","0","-71","0","26.1","119.4","48"
"1558528057517","05/22/19  12:27:37.517   ","0.44","62.6","0.248","33.9","0.3","0.224","100","2.75","31.69","1.44","9.97","0.38","2.74","0.2","3.4","0.4","1.23","0.37","0.95","0","0.85","0.36","0.74","62.6","-14.6","-72.7","-127","62.6","-17.9","-73.2","-136.8","-174.8","95","-10.7","0","-68.8","127.4","20.8","119.4","46.2"
"1558528058248","05/22/19  12:27:38.248   ","0.43","62.8","0.25","34.4","0.3","0.224","100","2.71","32.08","1.35","9.93","0.33","2.5","0","3.24","0.31","1.16","0.34","1.25","0","0.41","0.42","0.35","62.8","-13.5","-72.1","-128.8","62.8","-13.5","-72.1","-128.8","-174.7","98.5","-4.4","0","-67.2","-164.2","29.2","119.4","33.3"
"1558528059513","05/22/19  12:27:39.513   ","0.43","62.8","0.247","33.8","0.3","0.226","100","1.84","31.68","0.88","9.91","0.4","2.53","0.27","3.05","0.23","1.35","0.34","0.98","0.3","0.58","0","0.29","62.8","-18.3","-71.9","-117.1","62.9","-11.3","-72.2","-132.5","-173.3","145.6","-11.5","0","-68.4","-167.1","41.6","119.5","38.5"
"1558528060242","05/22/19  12:27:40.242   ","0.44","62.8","0.249","33.8","0.3","0.224","100","2.3","31.76","0.86","9.82","0","2.44","0","3.3","0.44","1.24","0","0.79","0.37","0.78","0","0.71","62.7","-15.5","-72.1","-127.7","62.7","-15.5","-72.1","-127.7","-173.3","0","-4.3","0","-66.4","127.6","35.5","119.5","31.9"
"1558528061525","05/22/19  12:27:41.525   ","0.43","62.7","0.251","33.7","0.3","0.226","100","2.24","31.75","0.76","10.01","0.56","2.42","0.2","3.27","0.41","1.41","0.31","1.13","0.24","0.43","0","0.52","62.8","-17.8","-72.3","-117.2","62.7","-17.2","-72.7","-128.8","-174","125.9","-4.9","112.3","-68","111.4","38.9","119.4","34"
"1558528062258","05/22/19  12:27:42.258   ","0.44","62.8","0.251","33.8","0.3","0.224","100","2.45","32.07","1.07","10.02","0.27","2.75","0.35","2.53","0.22","1.39","0","1.07","0","0.43","0","0.23","62.6","-18.1","-72.3","-124.9","62.7","-13.3","-72.5","-137.7","-175.6","77.9","-10.2","0","-66.6","176.5","24.8","119.4","50.1"
