"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","V3 Ang","I3 H13 ANG"
"1558525409577","05/22/19  11:43:29.577   ","4.99","84.4","2.967","19.3","1.9","1.79","100","18.08","0.98","1.2","1.72","1.36","0.6","0.95","0.27","0","0","0","0","0","0","0","0","84.2","4.1","-24.7","-94.3","85.1","-53.4","-62.9","-61.6","-20.7","-152","80.9","56.7","-101.1","0","72.2","119.5","0"
"1558525410316","05/22/19  11:43:30.316   ","4.95","83.5","2.952","18.7","1.9","1.662","100","19.15","5.06","1.29","1.86","1.84","0.49","0.85","0.65","0.32","0.3","0.28","0.3","0","0.21","0","0","85.3","147.9","-65.4","120.4","86","91.2","-97.4","-156.3","-24.4","16.3","-12.6","-170.1","-113.3","0","0","119.5","0"
"1558525411585","05/22/19  11:43:31.585   ","4.99","84","2.959","19.7","1.9","1.792","100","19.31","1.86","1.22","2.26","1.4","0","1.06","0.27","0.34","0.44","0.36","0.25","0.2","0","0","0.22","84","9.6","-21.8","-94.8","85","-46.8","-57.6","-61.1","-19.4","-141.9","88.5","66.1","-97.6","0","64.8","119.5","0"
"1558525412366","05/22/19  11:43:32.366   ","4.99","83.3","2.949","20.1","1.9","1.722","100","17.84","3.46","0.48","2.2","1.94","0.42","0.9","0.56","0","0","0","0","0","0","0","0","86.1","99.1","-93","-168.4","86.1","99.1","-93","-168.4","-17.3","21.7","10.2","-160.4","-101.7","0","0","119.5","0"
"1558525413646","05/22/19  11:43:33.646   ","4.93","83.8","2.955","18.4","1.8","1.721","100","19.09","1.46","1.08","2.44","1.43","0","1.11","0.24","0.33","0.41","0.31","0.24","0","0","0","0.26","84.7","-39.3","-52.1","-64.3","84.7","-96.3","-77.5","2.4","-38.5","-177.7","-33.1","-12.2","-129.6","0","0","119.4","81.5"
"1558525414390","05/22/19  11:43:34.390   ","5.01","84.6","2.954","20.3","2","1.73","100","18.24","4.06","0.43","2.22","2.02","0.45","0.92","0.61","0","0.23","0.24","0.23","0","0.2","0","0","86.1","107.9","-87.8","161.8","84.6","51.3","0","-152.6","-16","-41.4","106.6","140","0","-72.2","120","119.5","0"
"1558525415678","05/22/19  11:43:35.678   ","4.97","85.5","2.975","18.6","1.9","1.729","100","19.93","4.18","1.22","1.83","1.82","0.6","0.93","0.75","0.26","0.49","0.35","0","0","0","0","0.21","84.6","-30.1","-46.3","-64.4","84.8","-87.5","-75.3","-6.2","-36.8","-172.7","1.7","5","-128.4","0","0","119.5","77.8"
"1558525416422","05/22/19  11:43:36.422   ","4.87","84.3","2.969","19.1","1.9","1.741","100","18.31","4.42","0.53","2.05","1.99","0.3","0.88","0.61","0","0.23","0.24","0.25","0","0.22","0","0","85","60.2","-121.1","-144.2","85","60.2","-121.1","-144.2","-16.7","-25.5","124.3","149.1","-74.8","0","0","119.5","0"
"1558525417706","05/22/19  11:43:37.706   ","4.99","85.2","2.989","18.4","1.9","1.7","100","19.73","3.91","1.2","1.93","1.67","0.61","1.02","0.67","0.32","0.45","0.39","0","0.23","0","0","0","84.8","-80","-73.4","-17.8","84.8","-80","-73.4","-17.8","-29.4","-168.3","18.4","16.7","-122.4","0","0","119.4","70.2"
"1558525418509","05/22/19  11:43:38.509   ","4.9","83.9","2.966","19.9","1.9","1.762","100","18.27","1.54","0.97","1.67","1.49","0.34","0.86","0.24","0","0","0.2","0","0","0","0","0","85.3","69.3","-107.5","-142.2","85.3","69.3","-107.5","-142.2","-26.9","-10.3","143.9","163.5","-104.7","0","0","119.4","0"
"1558525419726","05/22/19  11:43:39.726   ","4.83","86.1","2.966","18.2","1.8","1.69","100","19.53","3.27","1.18","1.96","1.49","0.57","1.01","0.58","0.32","0.49","0.39","0","0.24","0","0.22","0.2","85","-68.4","-69.3","-42","83.6","-124.7","-66","14","-11.1","150.1","149.2","-42.3","23.7","0","168.4","119.5","61.6"
"1558525420618","05/22/19  11:43:40.618   ","4.81","85.6","2.977","18.3","1.8","1.8","100","18.8","1.12","1.03","2.7","1.37","0","1.12","0.24","0.27","0.39","0.31","0","0","0","0","0.2","83.9","21.7","-8.8","-116.6","84.6","-33.6","-48.9","-63.1","-19.8","-131.6","96.9","84.1","-83.1","-107.5","74.1","119.5","0"
