"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"1555350709770","04/15/19  17:51:49.770   ","4.84","84.1","3.145","19.4","1.9","1.895","100","18.8","5.75","1.61","3.56","2.37","0.7","0.59","0.68","0.31","0.24","0.23","0","0","0","0","0","83.3","-106.5","-74.7","-6.9","82.1","-163.7","-41.1","111.2","-13.4","105.8","15.1","-62.5","4","0","142.7","0","0"
"1555350710790","04/15/19  17:51:50.790   ","4.94","84","3.143","19.2","2","1.911","100","19.26","6.16","1.94","3.55","2.36","0.45","0.54","0.66","0.32","0.33","0.23","0","0","0","0","0","83.8","-95.3","-77.9","-36","82","-152.4","-37.9","100.8","-14.8","112.2","22.9","-53.1","24.2","0","153","0","0"
"1555350712139","04/15/19  17:51:52.139   ","4.82","83.8","3.156","20.9","1.9","1.753","100","18.85","3.99","1.76","3.64","1.74","0.61","0.63","0.61","0.33","0","0.24","0.21","0","0","0","0","83","61","-41.5","-175","83","2.9","-37.3","-58.3","-8.9","-97.9","-82.3","131.3","-28.9","-139.6","162.8","151.8","0"
"1555350713744","04/15/19  17:51:53.744   ","4.81","83.6","3.163","21","1.8","1.737","100","18.42","3.48","1.15","3.67","2.14","1.5","0.55","0.55","0.24","0","0","0.38","0.22","0","0","0.28","82.7","51.3","-29.1","-149.8","83","-5.3","-40.8","-56.2","-7.1","-107.2","0","118","-51.7","-147.3","158","154.8","0"
"1555350714745","04/15/19  17:51:54.745   ","5.02","83.9","3.147","21","1.9","1.821","100","18.64","3.77","1.7","3.61","1.65","0.52","0.65","0.54","0.33","0","0.24","0","0","0","0","0","83.9","116.7","-67.8","131.9","83.2","64.9","-48.5","175.4","-4.4","-13.4","48.2","138.6","0","0","0","0","0"
"1555350715528","04/15/19  17:51:55.528   ","5.04","82.9","3.115","19","1.8","1.763","100","18.3","5.11","1.17","3.55","2.23","0.95","0.73","0.63","0.25","0","0","0.24","0","0","0","0","84.1","-67.2","-71.7","-71.6","82.6","-119.1","-73.6","9.6","-4.6","141.1","78.9","-36.8","0","73.9","-168.8","0","0"
"1555350716743","04/15/19  17:51:56.743   ","5","82.8","3.134","18.9","2","1.838","100","17.79","2.48","0.52","2.99","1.58","0.31","0.63","0.25","0.25","0.23","0","0","0","0","0","0","82.2","-165","-42.7","112.6","83.2","139.4","-58.9","127.4","-0.4","43.7","57.4","-123.7","-68.4","-0.1","0","0","-36.1"
"1555350717734","04/15/19  17:51:57.734   ","4.95","82.4","3.122","19.7","1.9","1.782","100","17.78","3.1","0.46","3.25","1.75","0.47","0.7","0.46","0","0.21","0","0.23","0","0","0","0","82.1","-154.4","-38.8","103.6","82.9","151.5","-53.2","129.2","0.8","52.9","63.3","-106.7","-55","9.5","0","-28.3","-21.9"
"1555350718528","04/15/19  17:51:58.528   ","4.88","84.1","3.124","19","1.9","1.787","100","18.37","2.03","0.85","3.27","1.62","0.66","0.63","0.34","0","0","0","0.25","0","0","0","0.23","82.7","19.6","-30.6","-70.3","83.9","-32.6","-53.1","-61.4","-8","-130.2","57","81.5","-85.2","-160.4","163.4","158.4","0"
"1555350719742","04/15/19  17:51:59.742   ","4.91","84.5","3.147","18.7","1.9","1.814","100","19.41","5.94","2.21","3.89","1.98","0","0.57","0.55","0.37","0.39","0.29","0","0","0","0","0","84.2","-73.5","-74","-73.4","82.3","-126.3","-69.9","22.8","-3.5","130.5","72.2","-35","23.1","59.5","168.5","-33.4","0"
